ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt1415252,Agyaat,2009,130 min,2.8,612,"Drama, Horror, Mystery            ",hindi
tt12867038,Aham Brahmasmi,2021,106 min,-,-,Action            ,hindi
tt0831840,Ahista Ahista,2006,122 min,7,"1,474","Drama, Romance            ",hindi
tt4387040,Airlift,2016,130 min,8,"53,259","Drama, History            ",hindi
tt4760900,Aisa Yeh Jahaan,2015,120 min,6.6,51,Drama            ,hindi
tt1509732,Aisha,I 2010,126 min,5,"3,920","Comedy, Drama, Romance            ",hindi
tt1513700,Aisi Deewangi,2009,125 min,4.9,8,"Action, Comedy, Drama            ",hindi
tt0418460,Aitraaz,2004,160 min,6.6,"9,615","Drama, Romance, Thriller            ",hindi
tt6774212,Aiyaary,2018,157 min,5.3,"4,061","Action, Drama, Thriller            ",hindi
tt2255934,Aiyyaa,2012,152 min,4.4,"1,741","Comedy, Romance            ",hindi
tt2356959,Ajab Gazabb Love,2012,116 min,4.2,517,"Comedy, Romance            ",hindi
tt1252596,Ajab Prem Ki Ghazab Kahani,2009,150 min,6.4,"12,903","Action, Comedy, Romance            ",hindi
tt6745804,Ajab Singh Ki Gajab Kahani,2017,115 min,5.8,51,Drama            ,hindi
tt5531640,Ajeeb Aashiq,2016,70 min,-,-,Drama            ,hindi
tt14091818,Ajeeb Daastaans,2021,142 min,6.8,"2,352","Drama, Romance            ",hindi
tt6471054,Ajji,2017,104 min,6.9,939,Drama            ,hindi
tt0278291,Ajnabee,2001,165 min,6.4,"8,073","Action, Crime, Drama            ",hindi
tt0432385,AK 47,2004,125 min,5.1,38,"Action, Thriller            ",hindi
tt11651796,AK vs AK,2020,108 min,7,"11,827","Action, Comedy, Crime            ",hindi
tt2423132,Akaash Vani,2013,149 min,6.3,"1,830","Drama, Romance            ",hindi
tt11483416,Akad,2005,149 min,-,-,"Comedy, Drama, Family            ",hindi
tt11483440,Akad 2,2018,151 min,-,-,Family            ,hindi
tt3325636,Akath Kahani,2013,120 min,-,-,Drama            ,hindi
tt3524536,Akela the Alone,2014,58 min,5.5,10,Thriller            ,hindi
tt0331421,Akhiyon Se Goli Maare,2002,146 min,5.1,859,"Comedy, Romance            ",hindi
tt0289845,Aks,2001,184 min,5.8,"1,608","Action, Crime, Horror            ",hindi
tt0476729,Aksar,2006,135 min,4.8,"1,135","Drama, Romance, Thriller            ",hindi
tt5784860,Aksar 2,2017,127 min,3.6,412,"Crime, Drama, Mystery            ",hindi
tt1227762,Aladin,2009,132 min,4.6,"2,820","Action, Adventure, Fantasy            ",hindi
tt0813996,Alag: He Is Different.... He Is Alone...,2006,123 min,3.8,"1,164","Action, Drama, Fantasy            ",hindi
tt11360670,Alajh Palajh,2019,136 min,6.9,7,Comedy            ,hindi
tt0118578,Albela,2001,145 min,3.7,728,"Comedy, Drama, Romance            ",hindi
tt4355838,Albert Pinto Ko Gussa Kyun Aata Hai?,2019,100 min,5.6,331,Drama            ,hindi
tt6189880,Alif,I 2017,120 min,6.6,131,Drama            ,hindi
tt5121000,Aligarh,2015,114 min,7.8,"6,186","Biography, Drama            ",hindi
tt4907254,Alisha,II 2014,70 min,-,-,"Drama, Family, Romance            ",hindi
tt4827608,Al-kaanda,2015,100 min,-,-,"Comedy, Crime            ",hindi
tt8267940,All About Sec-377,2016,126 min,-,-,"Comedy, Drama            ",hindi
tt3547616,All Is Well,2015,126 min,3.8,"1,500","Comedy, Drama, Romance            ",hindi
tt13438922,All Ladies Do It,2020,97 min,6.7,377,Thriller            ,hindi
tt1433905,All the Best: Fun Begins,2009,144 min,6.2,"5,672","Action, Comedy, Drama            ",hindi
tt1292642,Allah Ke Banday,2010,123 min,6.1,302,"Action, Crime, Drama            ",hindi
-,Alpha Beta Gamma,2021,124 min,-,-,"Comedy, Drama            ",hindi
tt1937092,Always Kabhi Kabhi,2011,126 min,4,"1,289","Comedy, Crime, Drama            ",hindi
tt7040552,Amal,I 2017,87 min,-,-,"Crime, Drama, Fantasy            ",hindi
tt0907674,Amal,2007,101 min,7.5,"2,024",Drama            ,hindi
tt0364201,Aman Ke Farishtey,2016,137 min,6.5,22,Action            ,hindi
tt11418016,Amar Kahani Ravidas Ji Ki,2020,98 min,-,-,History            ,hindi
tt13751982,Amar Prem,2020,143 min,4.2,23,Drama            ,hindi
tt8396186,Amavas,2019,134 min,2.7,301,"Horror, Thriller            ",hindi
tt4643782,Amdavad Junction,2013,95 min,4.4,16,Mystery            ,hindi
tt0203289,American Desi,2001,100 min,6.6,"1,583","Comedy, Drama, Romance            ",hindi
tt3822600,Amit Sahni Ki List,2014,110 min,5.5,344,"Comedy, Romance            ",hindi
tt2211174,Ammaa Ki Boli,2019,117 min,7.4,80,"Comedy, Drama            ",hindi
tt9864578,An Ungodly Tie,2019,135 min,-,-,Horror            ,hindi
tt6058394,Anaarkali of Aarah,2017,113 min,6,"1,590",Drama            ,hindi
tt0346507,Andaaz,2003,145 min,5.3,"2,324","Drama, Musical, Romance            ",hindi
tt8159442,Andh: Let's Play Blind,2018,103 min,-,-,Thriller            ,hindi
tt8108198,Andhadhun,2018,139 min,8.2,"75,009","Crime, Drama, Music            ",hindi
tt1825655,Angel,I 2011,114 min,6.4,83,"Action, Drama            ",hindi
tt1027800,Angoor,2005,106 min,6.2,52,Drama            ,hindi
tt4961868,Angoori Bani Angaara,2015,142 min,-,-,Action            ,hindi
tt8907986,Angrezi Medium,2020,145 min,7.3,"11,140","Comedy, Drama            ",hindi
tt6613812,Angrezi Mein Kehte Hain,2018,104 min,6.8,"1,090","Drama, Romance            ",hindi
tt3368222,Angry Indian Goddesses,2015,115 min,7,"2,701","Comedy, Drama            ",hindi
tt7946836,Animal World,2018,132 min,6.5,"3,808","Action, Fantasy, Sci-Fi            ",hindi
tt1499201,Anjaana Anjaani,2010,151 min,5.8,"6,345","Comedy, Drama, Musical            ",hindi
tt0874854,Anjaane: The Unkown,2005,110 min,3.9,69,Horror            ,hindi
tt0495022,Ankahee,2006,151 min,4.1,362,"Biography, Drama, Romance            ",hindi
tt3614516,Ankhon Dekhi,2013,107 min,8,"10,398","Comedy, Drama            ",hindi
tt2912578,Ankur Arora Murder Case,2013,129 min,6.5,"1,776","Drama, Thriller            ",hindi
tt0421626,Anokha,2004,135 min,3.9,9,"Drama, Comedy, Romance            ",hindi
tt3967962,Anokha Anubhav,2003,105 min,-,-,Thriller            ,hindi
tt0450967,Anokha Moti,2000,86 min,7.3,15,"Drama, Family            ",hindi
tt1372719,Anokhe Amar Shaheed Baba Deep Singh Ji,2006,154 min,6.6,9,History            ,hindi
tt0315777,Ansh: The Deadly Part,2002,180 min,6.4,50,"Crime, Drama, Thriller            ",hindi
tt1722425,Antardwand,2008,114 min,7.3,645,"Crime, Drama            ",hindi
tt11496832,Antervyathaa,2020,90 min,-,-,Drama            ,hindi
tt0800981,Anthony Kaun Hai?,2006,127 min,5.2,613,"Mystery, Thriller            ",hindi
tt1146305,Anubhav: An Experience,2003,90 min,3.6,10,Crime            ,hindi
-,Anubhuti,2021,110 min,-,-,Drama            ,hindi
tt5949094,Anubhuti: Taking the Legacy Forward,2015,45 min,-,-,Drama            ,hindi
tt0953306,Anwar,2007,144 min,6.6,888,"Drama, Romance, Thriller            ",hindi
tt3679000,Any Body Can Dance 2,2015,154 min,5.4,"5,616","Biography, Drama, Music            ",hindi
tt0451631,Apaharan,2005,173 min,7.4,"4,325","Action, Crime, Drama            ",hindi
tt1425618,Apartment: Rent at Your Own Risk,2010,97 min,3.5,230,"Drama, Mystery, Thriller            ",hindi
tt1073097,Apna Asmaan,2007,110 min,6.2,163,"Drama, Sci-Fi            ",hindi
tt0493437,Apna Sapna Money Money,2006,134 min,5.3,"1,892","Comedy, Musical, Romance            ",hindi
tt0814014,Apne,2007,173 min,6,"2,817","Drama, Sport            ",hindi
tt0926187,Arjun Devaa,2001,133 min,3.7,20,"Action, Crime, Musical            ",hindi
tt7881524,Arjun Patiala,2019,107 min,4.2,"1,167","Action, Comedy            ",hindi
tt1450700,Arjun V/S Destiny,2009,46 min,-,-,Mystery            ,hindi
tt2404027,Arjun: The Warrior Prince,2012,96 min,6.8,"1,508","Animation, Action, Adventure            ",hindi
tt0331851,Armaan,2003,158 min,5.2,"1,093","Drama, Family, Romance            ",hindi
tt1692831,Arohan,2010,126 min,5.3,9,"Drama, Family, Music            ",hindi
tt7212512,Arranged,2017,67 min,-,-,"Drama, Romance            ",hindi
tt14496252,Art of Murder,2016,112 min,-,-,"Crime, Drama, Mystery            ",hindi
tt10324144,Article 15,2019,130 min,8.2,"24,491","Crime, Drama, Mystery            ",hindi
tt0454396,Aryan: Unbreakable,2006,135 min,4.4,307,"Action, Drama, Sport            ",hindi
tt5152446,As the river flows,2015,100 min,-,-,Drama            ,hindi
tt0368580,Asambhav,2004,139 min,3.4,572,"Action, Adventure, Drama            ",hindi
tt11492944,Asar,2007,145 min,-,-,"Drama, Comedy, Family            ",hindi
tt11611118,Asar 2,2016,110 min,-,-,Family            ,hindi
tt6531196,Ascharyachakit!,2018,90 min,4.9,529,"Drama, Romance            ",hindi
tt9042528,Asha - Education To Girls,2012,60 min,-,-,Drama            ,hindi
tt7274816,Ashley,I 2017,103 min,3.1,11,Thriller            ,hindi
tt2011871,Ashok Chakra: Tribute to Real Heroes,2010,86 min,4.8,8,Action            ,hindi
tt8616050,Ashok Vatika,2018,97 min,9.3,7,Drama            ,hindi
tt0249371,Ashoka the Great,2001,180 min,6.5,"13,361","Action, Biography, Drama            ",hindi
tt1806784,Ashoka the Hero,2011,70 min,6.6,10,Animation            ,hindi
tt14210760,Ashwatthama,2017,120 min,-,-,Fantasy            ,hindi
-,Asthi the Ashes,2021,110 min,-,-,Biography            ,hindi
tt11401900,Astounding Courage in Distress,2020,102 min,7.3,32,Family            ,hindi
tt1956433,Ata Pata Lapatta,2012,120 min,5.4,86,"Comedy, Musical            ",hindi
tt7518766,Atal Faisla,2018,127 min,-,-,Drama            ,hindi
tt8265146,Ateet,2020,120 min,4.2,187,Thriller            ,hindi
tt0460400,Athbhutha Dweepu,2005,127 min,5.4,254,"Action, Adventure, Comedy            ",hindi
tt3885778,Atin Ella and Charadhaya,2016,105 min,-,-,Drama            ,hindi
